EMS,DPN,MPN,Supplier,Designation,Designation2,Family,Price,Currency,Origin,Valid_From,MOQ,Incoterm,LT(wk),TYPE
Seprolec,DPN003308,TMP235A4DBZR,Texas Instruments,LOW-POWER HIGH-ACCURACY ANALOG O,TMP235A4DBZ,IC - Sensors & microphones,"0,09",USD,manufacturer quote,2019-11-21,,,,
Devialet,DPN003312,GRM2165C1H272JA01D,MURATA,CAP CER 2700PF 50V C0G/NP0 0805,,TBD,"0,02",EUR,estimation pierre,2019-11-25,,,,GEN
Devialet,DPN003313,CC0402KRX7R7BB222,YAGEO,CAP CER 2.2NF 16V 10% 0402 X7R,,Passives - Ceramic capacitors,"0,02",EUR,estimation pierre,2019-11-25,,,,GEN
Devialet,DPN003319,ERJ-2RKF2612X,PANASONIC,0402 26.1Kohms 1%,,TBD,"0,02",EUR,estimation pierre,2019-12-16,,,,GEN
Devialet,DPN003323,TLV70717DQNR,Texas Instruments,IC REG LINEAR 1.7V 200MA 4X2SON,,IC - PMIC Voltage Regulators LDO,"0,06",USD,manufacturer quote,2020-08-10,,CDP,,
Tymphany,DPN003323,TLV70717DQNR,Texas Instruments,IC REG LINEAR 1.7V 200MA 4X2SON,,IC - PMIC Voltage Regulators LDO,"0,0422",USD,RFQTWIX,2020-05-26,,,,
Devialet,DPN003324,20R 1% 0402,_Generic_,RES 20R 1% 0402,,Passives - Resistors,"0,003",EUR,au pif,2019-11-25,,,,
Bosch,DPN003378,100NF 35V 10% 0402 X7R,_Generic_,CAP CER 100NF 35V 10% 0402 X7R,,Passives - Ceramic capacitors,Missing Price,,,,,,,GEN
Bosch,DPN003380,LED 0603 RED,_Generic_,LED RED 0603,,Dicrete - LED,"0,0475",EUR,Bosch20200505,2020-05-01,10000,DDP mondeville,14,
Devialet,DPN003380,LED 0603 RED,_Generic_,LED RED 0603,,Dicrete - LED,"0,01",EUR,estimation pierre,2020-02-19,,,,
Tymphany,DPN003380,LED 0603 RED,_Generic_,LED RED 0603,,Dicrete - LED,"0,0117",USD,RFQTWIX,2020-05-26,,,,
Devialet,DPN003384,TXB0108RGYR,Texas Instruments,IC TRNSLTR BIDIRECTIONAL 20VQFN,8 channel auto-bidirectionnal voltage level translator with auto-direction and ESD protection,IC - Others,"0,4",USD,manufacturer info,2020-04-30,,,,
Tymphany,DPN003384,TXB0108RGYR,Texas Instruments,IC TRNSLTR BIDIRECTIONAL 20VQFN,8 channel auto-bidirectionnal voltage level translator with auto-direction and ESD protection,IC - Others,"0,412",USD,RFQTWIX,2020-05-26,,,,
Devialet,DPN003385,TXS0108ERGY,Texas Instruments,8 channel auto-bidirectionnal voltage level translator for open-drain applications with auto-direction and ESD protection.,,IC - Others,"0,5",USD,estimation pierre,2020-05-15,,,,
Tymphany,DPN003385,TXS0108ERGY,Texas Instruments,8 channel auto-bidirectionnal voltage level translator for open-drain applications with auto-direction and ESD protection.,,IC - Others,"0,356",USD,RFQTWIX,2020-05-26,,,,
Tymphany,DPN003433,0R 10% 1206,_Generic_,Resistor - 1206 0R 1% 1/4W SMD,,Passives - Resistors,"0,0165",USD,RFQTWIX,2020-05-26,,,,
Bosch,DPN003435,1N4148WT,ON SEMI,DIODE VRM 75V VF 1V  150mA SOD-523F,,Dicrete - Diodes,"0,0098",USD,Bosch20200505,2020-05-01,32000,DDP Mondeville,19,
Devialet,DPN003435,1N4148WT,ON SEMI,DIODE VRM 75V VF 1V  150mA SOD-523F,,Dicrete - Diodes,"0,0093",EUR,EBV,2020-07-20,8000,CPT Paris,20,
Seprolec,DPN003435,1N4148WT,ON SEMI,DIODE VRM 75V VF 1V  150mA SOD-523F,,Dicrete - Diodes,"0,0093",EUR,EBV,2020-07-20,8000,CPT Paris,20,
Tymphany,DPN003435,1N4148WT,ON SEMI,DIODE VRM 75V VF 1V  150mA SOD-523F,,Dicrete - Diodes,"0,047",USD,RFQTWIX,2020-05-26,,,,
Bosch,DPN003436,DMN3135LVT,DIODES INC.,Dual N-channel 30 V  35 mO typ  2.7 A MOSFET,,Dicrete - Power MOSFet,"0,072",EUR,Bosch20200505,2020-05-01,3000,DDP mondeville,24,
Tymphany,DPN003436,DMN3135LVT,DIODES INC.,Dual N-channel 30 V  35 mO typ  2.7 A MOSFET,,Dicrete - Power MOSFet,"0,0886",USD,RFQTWIX,2020-05-26,,,,
Bosch,DPN003445,S1BTR,SMC Diode Solutions,DIODE GEN PURP 100V 1A SMA,,Dicrete - Diodes,"0,0176",USD,Bosch20200505,2020-05-01,120000,FCA LEIPZIG,8,
Bosch,DPN003446,SDURD1540,SMC Diode Solutions,ULTRAFAST RECTIFIER,,Dicrete - Diodes,"0,21",USD,Bosch20200505,2020-05-01,2500,FCA LEIPZIG,13,
Tymphany,DPN003446,SDURD1540,SMC Diode Solutions,ULTRAFAST RECTIFIER,,Dicrete - Diodes,"0,068",USD,RFQTWIX,2020-05-26,,,,
Tymphany,DPN003476,R46KI347040P1M,KEMET,CAP FILM 0.47UF 20% 275VAC RAD,,Passives - Specific capacitors,"0,0914",USD,RFQTWIX,2020-05-26,,,,SPC
Devialet,DPN003489,PPTC041LFBN-RC,Sullins Connector Solutions,CONN HDR 4POS 0.1 TIN PCB,,Connectors - Board to Board,"0,02",EUR,estimation pierre,2020-06-08,,,,
Devialet,DPN003505,10029449-111RLF,FCI AMPHENOL,CONN RCPT 1.4 HDMI 19POS SMD R/A,,Connectors - Client interface sockets,"0,35",EUR,,2020-05-15,,,,
Tymphany,DPN003505,10029449-111RLF,FCI AMPHENOL,CONN RCPT 1.4 HDMI 19POS SMD R/A,,Connectors - Client interface sockets,"0,2266",USD,RFQTWIX,2020-05-26,,,,
Seprolec,DPN003508,10nF 10V 20% 0402 X7R,_Generic_,CAP CER 10nF 10V 20% 0402 X7R,,Passives - Ceramic capacitors,"0,003",EUR,,2020-05-05,,,,GEN
Tymphany,DPN003509,TDF8536HH,NXP,4 x 140 W/8 R digital input class-D audio amplifier with interleaved output and diagnostics,TDF8536HH/N1Y,IC - Audio,"8,343",USD,RFQTWIX,2020-05-26,,,,
Devialet,DPN003510,TLV70712PDQN,Texas Instruments,IC REG LINEAR 1.2V 200MA 4X2SON,,IC - PMIC Voltage Regulators LDO,"0,06",USD,manufacturer quote,2020-06-17,,,,
Tymphany,DPN003510,TLV70712PDQN,Texas Instruments,IC REG LINEAR 1.2V 200MA 4X2SON,,IC - PMIC Voltage Regulators LDO,"0,0422",USD,RFQTWIX,2020-05-26,,,,
Devialet,DPN003511,SII9437CNUCTR,Lattice-Silicon Image,ARC/eARC Receiver,SII9437CNUC,IC - Others,"1,5",USD,,2020-05-15,5000,,14,
Tymphany,DPN003511,SII9437CNUCTR,Lattice-Silicon Image,ARC/eARC Receiver,SII9437CNUC,IC - Others,"1,03",USD,RFQTWIX,2020-05-26,,,,
Devialet,DPN003512,PMBT3906,Nexperia,TRANS PNP 40V 0.2A SOT23,,Dicrete - Standard transistor,"0,03",USD,estimation pierre,2020-05-15,,,,
Tymphany,DPN003512,PMBT3906,Nexperia,TRANS PNP 40V 0.2A SOT23,,Dicrete - Standard transistor,"0,0033",USD,RFQTWIX,2020-05-26,,,,
Devialet,DPN003513,MMBT4401LT1G,ON SEMI,TRANS NPN 40V 0.6A SOT23,,Dicrete - Standard transistor,"0,0078",EUR,EBV,2020-07-20,3000,CPT Paris,12,
Tymphany,DPN003513,MMBT4401LT1G,ON SEMI,TRANS NPN 40V 0.6A SOT23,,Dicrete - Standard transistor,"0,0093",USD,RFQTWIX,2020-05-26,,,,
Tymphany,DPN003514,LIS2DH12TR,ST,ACCEL 2-16G I2C/SPI 12LGA,,IC - Sensors & microphones,"0,2616",USD,RFQTWIX,2020-05-26,,,,
Devialet,DPN003515,GBLC03CI-LF-T7,PROTEK,ESD Suppressor TVS Bi-Dir 3V 2-Pin SOD-323 T/R,"Ultra low capacitance TVS array, 3V3",IC - Others,"0,15",USD,estimation pierre,2020-05-15,,,,
Devialet,DPN003516,BZT52C3V9-13-F,DIODES INC.,DIODE ZENER 3V9 SOD123,,Dicrete - Diodes,"0,03",USD,estimation pierre,2020-05-15,,,,
Tymphany,DPN003516,BZT52C3V9-13-F,DIODES INC.,DIODE ZENER 3V9 SOD123,,Dicrete - Diodes,"0,0566",USD,RFQTWIX,2020-05-26,,,,
Tymphany,DPN003519,UVR1J331MPD1TD,NICHICON,CAP ALUM 330UF 20% 63V RADIAL,,Passives - Chemical capacitors,"0,0824",USD,RFQTWIX,2020-05-26,,,,GEN
Tymphany,DPN003520,330PF 100V 10% 0603 C0G,_Generic_,CAP CER 330PF 100V 10% 0603 C0G,,Passives - Ceramic capacitors,"0,0023",USD,RFQTWIX,2020-05-26,,,,GEN
Seprolec,DPN003521,4.7R 1% 0805,_Generic_,RES 4.7R 1% 0805,4R7 1% 0805,Passives - Resistors,"0,003",EUR,,2020-05-14,,,,
Tymphany,DPN003521,4.7R 1% 0805,_Generic_,RES 4.7R 1% 0805,4R7 1% 0805,Passives - Resistors,"0,0035",USD,RFQTWIX,2020-05-26,,,,
Tymphany,DPN003522,GBLC12CI,PROTEK,ESD Suppressor TVS Bi-Dir 12V 2-Pin SOD-323 T/R,,IC - Others,"0,0213",USD,RFQTWIX,2020-05-26,,,,
Tymphany,DPN003535,TSM-102-01-F-SV,SAMTEC,"Conn SMT 1x2 points header 2,54mm pitch",,Connectors - Board to Board,"0,0597",USD,RFQTWIX,2020-05-26,,,,
Devialet,DPN003536,MMS-104-02-F-SV,SAMTEC,Conn TRAD 1x2 points socket horizontal 2mm pitch,,Connectors - Board to Board,"0,3",EUR,,2020-05-25,,,,
Devialet,DPN003537,SHF-105-01-L-D-SM,SAMTEC,"Conn SMT 2x5 points header 1,27mm pitch Casing",,Connectors - Board to Board,"0,4",EUR,,2020-05-25,,,,
Tymphany,DPN003540,525590834,MOLEX,"Conn FFC 8 points vertical 0,5mm pitch ZIF",525590834,Connectors - Inner connection (HP or other),"0,337",USD,RFQTWIX,2020-05-26,,,,
Tymphany,DPN003541,HLE-110-02-F-DV-K-TR,SAMTEC,"Conn SMT 2x10 points vertical socket 2,54 pitch",,Connectors - Board to Board,"0,721",USD,RFQTWIX,2020-05-26,,,,
Devialet,DPN003543,8.2PF 50V 5% 0402 C0G,_Generic_,CAP CER 8.2PF 50V 5% 0402 C0G,,Passives - Ceramic capacitors,"0,006",EUR,,2020-05-15,,,,GEN
Devialet,DPN003545,TURBOX_C405_Q29_SKU1,Thundercomm,"Thundercomm TurboX C405 SOM with QCS405WCN3999 eMCP,8GB eMMC5.18Gb LPDDR3. SCH COMPATIBLE WITH LITEON SOM",TurboX C405,IC - SoC Microprocessor,25,USD,Thundecomm quote 20200708,2020-07-08,4000,,,
Tymphany,DPN003545,TURBOX_C405_Q29_SKU1,Thundercomm,"Thundercomm TurboX C405 SOM with QCS405WCN3999 eMCP,8GB eMMC5.18Gb LPDDR3. SCH COMPATIBLE WITH LITEON SOM",TurboX C405,IC - SoC Microprocessor,"29,4683",USD,RFQTWIX,2020-05-26,,,,
Seprolec,DPN003546,TG-UT11361,UMEC,PLC Coupling Transformer For Qualcomm QCR6410,,IC - Others,"0,716",EUR,ES,2020-09-04,1140,DDP,9,
Tymphany,DPN003546,TG-UT11361,UMEC,PLC Coupling Transformer For Qualcomm QCR6410,,IC - Others,"0,716",EUR,ES,2020-09-04,1140,DDP,9,
Tymphany,DPN003547,SPH0641LM4H-1,Knowles,MIC MEMS DIGITAL PDM OMNI -26DB,,IC - Sensors & microphones,"0,3347",USD,RFQTWIX,2020-05-26,,,,
Devialet,DPN003548,LTR-308ALS-01,Liteon,SENSOR OPT AMBIENT LGT PHOTO,,IC - Sensors & microphones,"0,25",USD,estimation pierre,2020-05-14,,,,
Tymphany,DPN003548,LTR-308ALS-01,Liteon,SENSOR OPT AMBIENT LGT PHOTO,,IC - Sensors & microphones,"0,1339",USD,RFQTWIX,2020-05-26,,,,
Devialet,DPN003549,LP5009RUKR,Texas Instruments,IC LED DRV LINEAR DIM 35MA 20-WQFN,,IC - Others,"0,28",USD,manufacturer quote,2020-08-10,,CDP,,
Tymphany,DPN003549,LP5009RUKR,Texas Instruments,IC LED DRV LINEAR DIM 35MA 20-WQFN,,IC - Others,"0,412",USD,RFQTWIX,2020-05-26,,,,
Seprolec,DPN003550,C947U472MZVDBA7317,KEMET,CAP CER 4700PF 440VAC Y5V RADIAL X1Y2,,Passives - Specific capacitors,"0,13",EUR,VPC,2020-05-14,,,,GEN
Tymphany,DPN003550,C947U472MZVDBA7317,KEMET,CAP CER 4700PF 440VAC Y5V RADIAL X1Y2,,Passives - Specific capacitors,"0,1526",USD,RFQTWIX,2020-05-26,,,,GEN
Tymphany,DPN003551,A3,Elytone,Transformer A3,,Passives - Transformers,Missing Price,,,,,,,
Bosch,DPN003552,YT-35374-4,Elytone,Transformer A3,,Passives - Transformers,"1,818",USD,manufacturer quote,2020-05-29,2500,FOB HK,,
Tymphany,DPN003553,B3,Elytone,Transformer B3,,Passives - Transformers,Missing Price,,,,,,,
Bosch,DPN003554,YT-35375-3,Elytone,Transformer B3,,Passives - Transformers,"1,521",USD,manufacturer quote,2020-05-29,2500,FOB HK,,
Tymphany,DPN003562,SPH0644LM4H-1,Knowles,MEMS Digital/PDM -37DB,,IC - Sensors & microphones,Missing Price,,,,,,,
Tymphany,DPN003590,2.2UF 10V 10% 0603 X7R,_Generic_,CAP CER  2.2UF 10V 10% 0603 X7R,,Passives - Ceramic capacitors,"0,0068",USD,RFQTWIX,2020-05-26,,,,GEN
Tymphany,DPN003591,1UF 10V 10% 0402 X7R,_Generic_,CAP CER 1UF 10V 10% 0402 X7R,,Passives - Ceramic capacitors,"0,001",USD,RFQTWIX,2020-05-26,,,,GEN
Devialet,DPN003593,MAKK2520H1R5M,TAIYO YUDEN,FIXED IND 1.5H 2.4A 78 MOHM,,Passives - Standard inductors,"0,12",EUR,,2020-05-15,,,,
