EMS,DPN,MPN,Supplier,Designation,Designation2,Family,Price,Currency,Origin,Valid_From,MOQ,Incoterm,LT(wk),TYPE
Devialet,DPN000001,0R JUMPER 1206,_Generic_,RES 0R JUMPER 1206,Resistor - 0R 1%  1206 SMD,Passives - Resistors,"0,002",EUR,,2010-01-01,,,,
Seprolec,DPN000002,100R 1% 1206,_Generic_,RES 100R 1% 1206,,Passives - Resistors,"0,0048",EUR,PACOV3_01-09-2020,2020-09-10,,,,
Bosch,DPN000005,2.2K 1% 0402,_Generic_,RES 2.2K 1% 0402,2K2 1% 0402,Passives - Resistors,"0,002",EUR,,2010-01-01,,,,
Devialet,DPN000005,2.2K 1% 0402,_Generic_,RES 2.2K 1% 0402,2K2 1% 0402,Passives - Resistors,"0,002",EUR,,2010-01-01,,,,
Seprolec,DPN000005,2.2K 1% 0402,_Generic_,RES 2.2K 1% 0402,2K2 1% 0402,Passives - Resistors,"0,0025",EUR,PACOV3_01-09-2020,2020-09-10,,,,
Devialet,DPN000006,1.82K 1% 0402,_Generic_,RES 1.82K 1% 0402,,Passives - Resistors,"0,005",EUR,,2010-01-01,,,,
Tymphany,DPN000006,1.82K 1% 0402,_Generic_,RES 1.82K 1% 0402,,Passives - Resistors,"0,0003",USD,RFQTWIX,2020-05-26,,,,
Bosch,DPN000007,1K 1% 0603,_Generic_,RES 1K 1% 0603,,Passives - Resistors,"0,002",EUR,,2010-01-01,,,,
Seprolec,DPN000007,1K 1% 0603,_Generic_,RES 1K 1% 0603,,Passives - Resistors,"0,003",EUR,PACOV3_01-09-2020,2020-09-10,,,,
Bosch,DPN000010,0R JUMPER 0402,_Generic_,RES 0R JUMPER 0402,RES 0R 1% 0402,Passives - Resistors,"0,002",EUR,,2010-01-01,,,,
Devialet,DPN000010,0R JUMPER 0402,_Generic_,RES 0R JUMPER 0402,RES 0R 1% 0402,Passives - Resistors,"0,002",EUR,,2010-01-01,,,,
Seprolec,DPN000010,0R JUMPER 0402,_Generic_,RES 0R JUMPER 0402,RES 0R 1% 0402,Passives - Resistors,"0,0035",EUR,PACOV3_01-09-2020,2020-09-10,,,,
Tymphany,DPN000010,0R JUMPER 0402,_Generic_,RES 0R JUMPER 0402,RES 0R 1% 0402,Passives - Resistors,"0,0004",USD,RFQTWIX,2020-05-26,,,,
Bosch,DPN000011,10R 1% 0603,_Generic_,RES 10R 1% 0603,,Passives - Resistors,"0,0017",EUR,Bosch20200505,2020-05-01,5000,DDP Mondeville,11,
Devialet,DPN000011,10R 1% 0603,_Generic_,RES 10R 1% 0603,,Passives - Resistors,"0,002",EUR,,2010-01-01,,,,
Seprolec,DPN000011,10R 1% 0603,_Generic_,RES 10R 1% 0603,,Passives - Resistors,"0,0052",EUR,PACOV3_01-09-2020,2020-09-10,,,,
Tymphany,DPN000011,10R 1% 0603,_Generic_,RES 10R 1% 0603,,Passives - Resistors,"0,0007",USD,RFQTWIX,2020-05-26,,,,
Bosch,DPN000020,330K 1% 0805,_Generic_,RES 330K 1% 0805,,Passives - Resistors,"0,139",JPY,Bosch20200505,2020-05-01,5000,DDP mondeville,22,
Seprolec,DPN000020,330K 1% 0805,_Generic_,RES 330K 1% 0805,,Passives - Resistors,"0,0025",EUR,PACOV3_01-09-2020,2020-09-10,,,,
Tymphany,DPN000020,330K 1% 0805,_Generic_,RES 330K 1% 0805,,Passives - Resistors,"0,0023",USD,RFQTWIX,2020-05-26,,,,
Devialet,DPN000021,169K 1% 0402,_Generic_,RES 169K 1% 0402,,Passives - Resistors,"0,002",EUR,,2010-01-01,,,,
Bosch,DPN000023,100NF 25V 10% 0603 X7R,_Generic_,CAP CER 100NF 25V 10% 0603 X7R,,Passives - Ceramic capacitors,"0,04",EUR,,2010-01-01,,,,GEN
Seprolec,DPN000023,100NF 25V 10% 0603 X7R,_Generic_,CAP CER 100NF 25V 10% 0603 X7R,,Passives - Ceramic capacitors,"0,0098",EUR,PACOV3_01-09-2020,2020-09-10,,,,GEN
Tymphany,DPN000023,100NF 25V 10% 0603 X7R,_Generic_,CAP CER 100NF 25V 10% 0603 X7R,,Passives - Ceramic capacitors,"0,0023",USD,RFQTWIX,2020-05-26,,,,GEN
Bosch,DPN000024,2.49K 1% 0402,_Generic_,RES 2.49K 1% 0402,,Passives - Resistors,"0,002",EUR,,2010-01-01,,,,
Seprolec,DPN000024,2.49K 1% 0402,_Generic_,RES 2.49K 1% 0402,,Passives - Resistors,"0,0025",EUR,PACOV3_01-09-2020,2020-09-10,,,,
Bosch,DPN000025,24.9R 1% 0402,_Generic_,RES 24.9R 1% 0402,,Passives - Resistors,"0,002",EUR,,2010-01-01,,,,
Devialet,DPN000025,24.9R 1% 0402,_Generic_,RES 24.9R 1% 0402,,Passives - Resistors,"0,002",EUR,,2010-01-01,,,,
Seprolec,DPN000025,24.9R 1% 0402,_Generic_,RES 24.9R 1% 0402,,Passives - Resistors,"0,0025",EUR,PACOV3_01-09-2020,2020-09-10,,,,
Tymphany,DPN000025,24.9R 1% 0402,_Generic_,RES 24.9R 1% 0402,,Passives - Resistors,"0,0003",USD,RFQTWIX,2020-05-26,,,,
Bosch,DPN000030,1UF 25V 10% 0402 X5R,_Generic_,CAP CER 1UF 25V 10% 0402 X5R,Capacitor - 1uF 25V 20% X5R 0402 SMD,Passives - Ceramic capacitors,"0,037",EUR,Bom Bosch PSU-MADH 20200312,2020-03-01,10000,DDP Mondeville,30,GEN
Seprolec,DPN000030,1UF 25V 10% 0402 X5R,_Generic_,CAP CER 1UF 25V 10% 0402 X5R,Capacitor - 1uF 25V 20% X5R 0402 SMD,Passives - Ceramic capacitors,"0,016",EUR,PACOV3_01-09-2020,2020-09-10,,,,GEN
Bosch,DPN000036,6.19K 1% 0402,_Generic_,RES 6.19K 1% 0402,,Passives - Resistors,"0,002",EUR,,2010-01-01,,,,
Seprolec,DPN000036,6.19K 1% 0402,_Generic_,RES 6.19K 1% 0402,,Passives - Resistors,"0,0025",EUR,PACOV3_01-09-2020,2020-09-10,,,,
Seprolec,DPN000090,744825510,WURTH,CMC 10MH 5A 2LN TH,SELF 2x10MH 744825510,Passives - Standard inductors,"1,21",EUR,manufacturer quote,2019-06-03,3060,ddp,,
Tymphany,DPN000091,74279225101,WURTH,FERRITE BEAD 100 OHM 3412 1LN,SELF 100R 100MHz,Passives - Ferrites,"0,3452",USD,RFQTWIX,2020-05-26,,,,
Seprolec,DPN000094,03131-81-0710,PRECIDIP,CONN HPG Phantom,,Connectors - Inner connection (HP or other),"0,2261",EUR,PACOV3_01-09-2020,2020-09-10,,,,
Bosch,DPN000097,100K 1% 0402,_Generic_,RES 100K 1% 0402,,Passives - Resistors,"0,08",JPY,Bom Bosch PSU-MADH 20200312,2020-03-01,10000,DDP MoP,20,
Devialet,DPN000097,100K 1% 0402,_Generic_,RES 100K 1% 0402,,Passives - Resistors,"0,002",EUR,,2010-01-01,,,,
Seprolec,DPN000097,100K 1% 0402,_Generic_,RES 100K 1% 0402,,Passives - Resistors,"0,0025",EUR,PACOV3_01-09-2020,2020-09-10,,,,
Tymphany,DPN000097,100K 1% 0402,_Generic_,RES 100K 1% 0402,,Passives - Resistors,"0,0003",USD,RFQTWIX,2020-05-26,,,,
Bosch,DPN000099,100NF 100V 10% 0805 X7R,_Generic_,CAP CER 100NF 100V 10% 0805 X7R,,Passives - Ceramic capacitors,"0,0072",USD,Bosch20200505,2020-05-01,2500,DDP mondeville,8,GEN
Seprolec,DPN000099,100NF 100V 10% 0805 X7R,_Generic_,CAP CER 100NF 100V 10% 0805 X7R,,Passives - Ceramic capacitors,"0,0205",EUR,PACOV3_01-09-2020,2020-09-10,,,,GEN
Tymphany,DPN000099,100NF 100V 10% 0805 X7R,_Generic_,CAP CER 100NF 100V 10% 0805 X7R,,Passives - Ceramic capacitors,"0,0072",USD,RFQTWIX,2020-05-26,,,,GEN
Bosch,DPN000100,100NF 16V 10% 0402 X7R,_Generic_,CAP CER 100NF 16V 10% 0402 X7R,Capacitor - 100nF 16V 10% X7R 0402 SMD,Passives - Ceramic capacitors,"0,0008",EUR,Bosch20200505,2020-05-01,10000,DDP mondeville,38,GEN
Devialet,DPN000100,100NF 16V 10% 0402 X7R,_Generic_,CAP CER 100NF 16V 10% 0402 X7R,Capacitor - 100nF 16V 10% X7R 0402 SMD,Passives - Ceramic capacitors,"0,002",EUR,,2010-01-01,,,,GEN
Seprolec,DPN000100,100NF 16V 10% 0402 X7R,_Generic_,CAP CER 100NF 16V 10% 0402 X7R,Capacitor - 100nF 16V 10% X7R 0402 SMD,Passives - Ceramic capacitors,"0,0045",EUR,PACOV3_01-09-2020,2020-09-10,,,,GEN
Tymphany,DPN000100,100NF 16V 10% 0402 X7R,_Generic_,CAP CER 100NF 16V 10% 0402 X7R,Capacitor - 100nF 16V 10% X7R 0402 SMD,Passives - Ceramic capacitors,"0,0009",USD,RFQTWIX,2020-05-26,,,,GEN
Bosch,DPN000101,100NF 50V 10% 0603 X7R,_Generic_,CAP CER 100NF 50V 10% 0603 X7R,100n/50V X7R SMD 0603,Passives - Ceramic capacitors,"0,002",EUR,,2010-01-01,,,,GEN
Tymphany,DPN000101,100NF 50V 10% 0603 X7R,_Generic_,CAP CER 100NF 50V 10% 0603 X7R,100n/50V X7R SMD 0603,Passives - Ceramic capacitors,"0,0023",USD,RFQTWIX,2020-05-26,,,,GEN
Bosch,DPN000102,100PF 16V 10% 0402 X7R,_Generic_,CAP CER 100PF 16V 10% 0402 X7R,Capa Ceram - 100PF 16V 10% X7R 0402,Passives - Ceramic capacitors,"0,0007",EUR,Bom Bosch PSU-MADH 20200312,2020-03-01,115000,DDP Mondeville,23,GEN
Seprolec,DPN000102,100PF 16V 10% 0402 X7R,_Generic_,CAP CER 100PF 16V 10% 0402 X7R,Capa Ceram - 100PF 16V 10% X7R 0402,Passives - Ceramic capacitors,"0,004",EUR,PACOV3_01-09-2020,2020-09-10,,,,GEN
Tymphany,DPN000102,100PF 16V 10% 0402 X7R,_Generic_,CAP CER 100PF 16V 10% 0402 X7R,Capa Ceram - 100PF 16V 10% X7R 0402,Passives - Ceramic capacitors,"0,0029",USD,RFQTWIX,2020-05-26,,,,GEN
Devialet,DPN000104,100PF 50V 5% 0402 C0G,_Generic_,CAP CER 100PF 50V 5% 0402 C0G,,Passives - Ceramic capacitors,"0,002",EUR,,2010-01-01,,,,GEN
Bosch,DPN000110,10K 1% 0402,_Generic_,RES 10K 1% 0402,Resistor - 0402 10k 1% 1/16W SMD,Passives - Resistors,"0,08",JPY,Bosch20200505,2020-05-01,5000,DDP mondeville,10,
Devialet,DPN000110,10K 1% 0402,_Generic_,RES 10K 1% 0402,Resistor - 0402 10k 1% 1/16W SMD,Passives - Resistors,"0,002",EUR,,2010-01-01,,,,
Seprolec,DPN000110,10K 1% 0402,_Generic_,RES 10K 1% 0402,Resistor - 0402 10k 1% 1/16W SMD,Passives - Resistors,"0,0025",EUR,PACOV3_01-09-2020,2020-09-10,,,,
Tymphany,DPN000110,10K 1% 0402,_Generic_,RES 10K 1% 0402,Resistor - 0402 10k 1% 1/16W SMD,Passives - Resistors,"0,0005",USD,RFQTWIX,2020-05-26,,,,
Bosch,DPN000112,10nF 100V 10% 0805 X7R,_Generic_,CAP CER 10NF 100V 10% 0805 X7R,,Passives - Ceramic capacitors,"0,003",EUR,,2010-01-01,,,,GEN
Devialet,DPN000112,10nF 100V 10% 0805 X7R,_Generic_,CAP CER 10NF 100V 10% 0805 X7R,,Passives - Ceramic capacitors,"0,003",EUR,,2010-01-01,,,,GEN
Seprolec,DPN000112,10nF 100V 10% 0805 X7R,_Generic_,CAP CER 10NF 100V 10% 0805 X7R,,Passives - Ceramic capacitors,"0,006",EUR,PACOV3_01-09-2020,2020-09-10,,,,GEN
Tymphany,DPN000112,10nF 100V 10% 0805 X7R,_Generic_,CAP CER 10NF 100V 10% 0805 X7R,,Passives - Ceramic capacitors,"0,0035",USD,RFQTWIX,2020-05-26,,,,GEN
Bosch,DPN000114,10R 1% 0402,_Generic_,RES 10R 1% 0402,"Resistor - 0402 10R 1% 1/16W, SMD",Passives - Resistors,"0,08",JPY,Bosch20200525,2020-05-01,10000,DDP Mondeville,16,
Devialet,DPN000114,10R 1% 0402,_Generic_,RES 10R 1% 0402,"Resistor - 0402 10R 1% 1/16W, SMD",Passives - Resistors,"0,002",EUR,,2010-01-01,,,,
Seprolec,DPN000114,10R 1% 0402,_Generic_,RES 10R 1% 0402,"Resistor - 0402 10R 1% 1/16W, SMD",Passives - Resistors,"0,0025",EUR,PACOV3_01-09-2020,2020-09-10,,,,
Tymphany,DPN000114,10R 1% 0402,_Generic_,RES 10R 1% 0402,"Resistor - 0402 10R 1% 1/16W, SMD",Passives - Resistors,"0,0003",USD,RFQTWIX,2020-05-26,,,,
Bosch,DPN000116,10UF 6.3V 20% 0603 X5R,_Generic_,CAP CER 10UF 6.3V 20% 0603 X5R,10UF 6V3 20% 0603 X5R,Passives - Ceramic capacitors,"0,0055",EUR,,2010-01-01,,,,GEN
Devialet,DPN000116,10UF 6.3V 20% 0603 X5R,_Generic_,CAP CER 10UF 6.3V 20% 0603 X5R,10UF 6V3 20% 0603 X5R,Passives - Ceramic capacitors,"0,0055",EUR,,2010-01-01,,,,GEN
Seprolec,DPN000116,10UF 6.3V 20% 0603 X5R,_Generic_,CAP CER 10UF 6.3V 20% 0603 X5R,10UF 6V3 20% 0603 X5R,Passives - Ceramic capacitors,"0,009",EUR,PACOV3_01-09-2020,2020-09-10,,,,GEN
Tymphany,DPN000116,10UF 6.3V 20% 0603 X5R,_Generic_,CAP CER 10UF 6.3V 20% 0603 X5R,10UF 6V3 20% 0603 X5R,Passives - Ceramic capacitors,"0,0065",USD,RFQTWIX,2020-05-26,,,,GEN
Bosch,DPN000119,18PF 50V 0402 C0G,_Generic_,CAP CER 18PF 50V 5% 0402 C0G,Capacitor - 18p 50V 5% NPO 0402 SMD,Passives - Ceramic capacitors,"0,112",JPY,Bosch20200525,2020-05-01,10000,DDP Mondeville,26,GEN
Devialet,DPN000119,18PF 50V 0402 C0G,_Generic_,CAP CER 18PF 50V 5% 0402 C0G,Capacitor - 18p 50V 5% NPO 0402 SMD,Passives - Ceramic capacitors,"0,006",EUR,,2010-01-01,,,,GEN
Seprolec,DPN000119,18PF 50V 0402 C0G,_Generic_,CAP CER 18PF 50V 5% 0402 C0G,Capacitor - 18p 50V 5% NPO 0402 SMD,Passives - Ceramic capacitors,"0,006",EUR,PACOV3_01-09-2020,2020-09-10,,,,GEN
Tymphany,DPN000119,18PF 50V 0402 C0G,_Generic_,CAP CER 18PF 50V 5% 0402 C0G,Capacitor - 18p 50V 5% NPO 0402 SMD,Passives - Ceramic capacitors,"0,001",USD,RFQTWIX,2020-05-26,,,,GEN
Bosch,DPN000120,1N5819HW-7-F,DIODES INC.,DIODE SCHOTTKY 40V 1A SOD123,,Dicrete - Diodes,"0,0417",EUR,Bom Bosch PSU-MADH 20200312,2020-03-01,9000,DDP Mondeville,27,
Devialet,DPN000120,1N5819HW-7-F,DIODES INC.,DIODE SCHOTTKY 40V 1A SOD123,,Dicrete - Diodes,"0,0182",EUR,,2010-01-01,,,,
Seprolec,DPN000120,1N5819HW-7-F,DIODES INC.,DIODE SCHOTTKY 40V 1A SOD123,,Dicrete - Diodes,"0,0192",EUR,PACOV3_01-09-2020,2020-09-10,,,,
Tymphany,DPN000120,1N5819HW-7-F,DIODES INC.,DIODE SCHOTTKY 40V 1A SOD123,,Dicrete - Diodes,"0,0752",USD,RFQTWIX,2020-05-26,,,,
Bosch,DPN000121,1NF 50V 5% 0402 C0G,_Generic_,CAP CER 1NF 50V 5% 0402 C0G,Capacitor 1n 50V 5% COG 0402 SMD,Passives - Ceramic capacitors,"0,004",EUR,,2010-01-01,,,,GEN
Devialet,DPN000121,1NF 50V 5% 0402 C0G,_Generic_,CAP CER 1NF 50V 5% 0402 C0G,Capacitor 1n 50V 5% COG 0402 SMD,Passives - Ceramic capacitors,"0,004",EUR,,2010-01-01,,,,GEN
Bosch,DPN000122,1NF 50V 10% 0402 X7R,_Generic_,CAP CER 1NF 50V 10% 0402 X7R,Capacitor - 1nF 50V 10% X7R 0402 SMD,Passives - Ceramic capacitors,"0,082",JPY,Bosch20200525,2020-05-01,10000,DDP Mondeville,37,GEN
Seprolec,DPN000122,1NF 50V 10% 0402 X7R,_Generic_,CAP CER 1NF 50V 10% 0402 X7R,Capacitor - 1nF 50V 10% X7R 0402 SMD,Passives - Ceramic capacitors,"0,004",EUR,PACOV3_01-09-2020,2020-09-10,,,,GEN
Tymphany,DPN000122,1NF 50V 10% 0402 X7R,_Generic_,CAP CER 1NF 50V 10% 0402 X7R,Capacitor - 1nF 50V 10% X7R 0402 SMD,Passives - Ceramic capacitors,"0,0005",USD,RFQTWIX,2020-05-26,,,,GEN
Bosch,DPN000124,1SMB5927BT3G,ON SEMI,DIODE ZENER 12V 3W SMB,,Dicrete - Diodes,"0,045",USD,Bosch20200525,2020-05-01,7500,DDP Mondeville,16,
Seprolec,DPN000124,1SMB5927BT3G,ON SEMI,DIODE ZENER 12V 3W SMB,,Dicrete - Diodes,"0,0416",EUR,PACOV3_01-09-2020,2020-09-10,,,,
Bosch,DPN000125,1uF 10V 10% 0402 X5R,_Generic_,CAP CER 1UF 10V 10% 0402 X5R,,Passives - Ceramic capacitors,"0,0025",EUR,,2010-01-01,,,,GEN
Bosch,DPN000133,22K 1% 0603,_Generic_,RES 22K 1% 0603,,Passives - Resistors,"0,002",EUR,,2010-01-01,,,,
Seprolec,DPN000133,22K 1% 0603,_Generic_,RES 22K 1% 0603,,Passives - Resistors,"0,0025",EUR,PACOV3_01-09-2020,2020-09-10,,,,
Bosch,DPN000134,24PF 50V 5% 0402 C0G,_Generic_,CAP CER 24PF 50V 5% 0402 C0G,Capacitor - 24p 50V 5% NPO 0402 SMD,Passives - Ceramic capacitors,"0,209",JPY,Bosch20200525,2020-05-01,50000,DDP Mondeville,26,GEN
Devialet,DPN000134,24PF 50V 5% 0402 C0G,_Generic_,CAP CER 24PF 50V 5% 0402 C0G,Capacitor - 24p 50V 5% NPO 0402 SMD,Passives - Ceramic capacitors,"0,002",EUR,,2010-01-01,,,,GEN
Seprolec,DPN000134,24PF 50V 5% 0402 C0G,_Generic_,CAP CER 24PF 50V 5% 0402 C0G,Capacitor - 24p 50V 5% NPO 0402 SMD,Passives - Ceramic capacitors,"0,004",EUR,PACOV3_01-09-2020,2020-09-10,,,,GEN
Tymphany,DPN000134,24PF 50V 5% 0402 C0G,_Generic_,CAP CER 24PF 50V 5% 0402 C0G,Capacitor - 24p 50V 5% NPO 0402 SMD,Passives - Ceramic capacitors,"0,0023",USD,RFQTWIX,2020-05-26,,,,GEN
Bosch,DPN000137,2N7002LT1G,ON SEMI,MOSFET N-CH 60V 0.115A SOT-23,,Dicrete - Power MOSFet,"0,0094",USD,Bosch20200525,2020-05-01,3000,DDP Mondeville,37,
Seprolec,DPN000137,2N7002LT1G,ON SEMI,MOSFET N-CH 60V 0.115A SOT-23,,Dicrete - Power MOSFet,"0,0114",EUR,PACOV3_01-09-2020,2020-09-10,,,,
Bosch,DPN000140,33R 1% 0402,_Generic_,RES 33R 1% 0402,,Passives - Resistors,"0,002",EUR,,2010-01-01,,,,
Devialet,DPN000140,33R 1% 0402,_Generic_,RES 33R 1% 0402,,Passives - Resistors,"0,002",EUR,,2010-01-01,,,,
Seprolec,DPN000140,33R 1% 0402,_Generic_,RES 33R 1% 0402,,Passives - Resistors,"0,0025",EUR,PACOV3_01-09-2020,2020-09-10,,,,
Bosch,DPN000143,390PF 50V 5% 0402 C0G,_Generic_,CAP CER 390PF 50V 5% 0402 C0G,,Passives - Ceramic capacitors,"0,27",JPY,BOM Bosch Paula 20171212,2017-12-12,10000,DDP Mondeville,38,GEN
Devialet,DPN000143,390PF 50V 5% 0402 C0G,_Generic_,CAP CER 390PF 50V 5% 0402 C0G,,Passives - Ceramic capacitors,"0,003",EUR,,2010-01-01,,,,GEN
Seprolec,DPN000143,390PF 50V 5% 0402 C0G,_Generic_,CAP CER 390PF 50V 5% 0402 C0G,,Passives - Ceramic capacitors,"0,006",EUR,PACOV3_01-09-2020,2020-09-10,,,,GEN
Tymphany,DPN000143,390PF 50V 5% 0402 C0G,_Generic_,CAP CER 390PF 50V 5% 0402 C0G,,Passives - Ceramic capacitors,"0,0035",USD,RFQTWIX,2020-05-26,,,,GEN
Devialet,DPN000145,4.99K 1% 0402,_Generic_,RES 4.99K 1% 0402,,Passives - Resistors,"0,002",EUR,,2010-01-01,,,,
Tymphany,DPN000145,4.99K 1% 0402,_Generic_,RES 4.99K 1% 0402,,Passives - Resistors,"0,0003",USD,RFQTWIX,2020-05-26,,,,
Devialet,DPN000148,470PF 50V 2% 0402 C0G,_Generic_,CAP CER 470PF 50V 2% 0402 C0G,Capacitor 470p 50V 2% COG 0402 SMD,Passives - Ceramic capacitors,"0,0069",EUR,,2010-01-01,,,,GEN
Seprolec,DPN000148,470PF 50V 2% 0402 C0G,_Generic_,CAP CER 470PF 50V 2% 0402 C0G,Capacitor 470p 50V 2% COG 0402 SMD,Passives - Ceramic capacitors,"0,012",EUR,PACOV3_01-09-2020,2020-09-10,,,,GEN
Bosch,DPN000149,47K 1% 0402,_Generic_,RES 47K 1% 0402,,Passives - Resistors,"0,0004",EUR,Bosch20200505,2020-05-01,10000,DDP mondeville,16,
Devialet,DPN000149,47K 1% 0402,_Generic_,RES 47K 1% 0402,,Passives - Resistors,"0,002",EUR,,2010-01-01,,,,
Seprolec,DPN000149,47K 1% 0402,_Generic_,RES 47K 1% 0402,,Passives - Resistors,"0,0025",EUR,PACOV3_01-09-2020,2020-09-10,,,,
Tymphany,DPN000149,47K 1% 0402,_Generic_,RES 47K 1% 0402,,Passives - Resistors,"0,0003",USD,RFQTWIX,2020-05-26,,,,
Bosch,DPN000151,47NF 25V 10% 0402 X7R,_Generic_,CAP CER 47NF 25V 10% 0402 X7R,,Passives - Ceramic capacitors,"0,002",EUR,,2010-01-01,,,,GEN
Seprolec,DPN000151,47NF 25V 10% 0402 X7R,_Generic_,CAP CER 47NF 25V 10% 0402 X7R,,Passives - Ceramic capacitors,"0,0042",EUR,PACOV3_01-09-2020,2020-09-10,,,,GEN
Bosch,DPN000155,49.9R 1% 0402,_Generic_,RES 49.9R 1% 0402,,Passives - Resistors,"0,002",EUR,,2010-01-01,,,,
Seprolec,DPN000155,49.9R 1% 0402,_Generic_,RES 49.9R 1% 0402,,Passives - Resistors,"0,0025",EUR,PACOV3_01-09-2020,2020-09-10,,,,
Bosch,DPN000158,51K 1% 0402,_Generic_,RES 51K 1% 0402,,Passives - Resistors,"0,002",EUR,,2010-01-01,,,,
Devialet,DPN000158,51K 1% 0402,_Generic_,RES 51K 1% 0402,,Passives - Resistors,"0,002",EUR,,2010-01-01,,,,
Seprolec,DPN000158,51K 1% 0402,_Generic_,RES 51K 1% 0402,,Passives - Resistors,"0,0025",EUR,PACOV3_01-09-2020,2020-09-10,,,,
Tymphany,DPN000158,51K 1% 0402,_Generic_,RES 51K 1% 0402,,Passives - Resistors,"0,0003",USD,RFQTWIX,2020-05-26,,,,
Bosch,DPN000165,750PF 50V 5% 0402 C0G,_Generic_,CAP CER 750PF 50V 5% 0402 C0G,,Passives - Ceramic capacitors,"0,772",JPY,BOM Bosch Paula 20171212,2017-12-12,10000,DDP Mondeville,15,GEN
Devialet,DPN000165,750PF 50V 5% 0402 C0G,_Generic_,CAP CER 750PF 50V 5% 0402 C0G,,Passives - Ceramic capacitors,"0,008",EUR,,2010-01-01,,,,GEN
Seprolec,DPN000165,750PF 50V 5% 0402 C0G,_Generic_,CAP CER 750PF 50V 5% 0402 C0G,,Passives - Ceramic capacitors,"0,0189",EUR,PACOV3_01-09-2020,2020-09-10,,,,GEN
Tymphany,DPN000165,750PF 50V 5% 0402 C0G,_Generic_,CAP CER 750PF 50V 5% 0402 C0G,,Passives - Ceramic capacitors,"0,0094",USD,RFQTWIX,2020-05-26,,,,GEN
Devialet,DPN000168,88E6240-xx-TFJ2I000,MARVELL,IC SWITCH ETHERNET TQFP128,,IC - Interfaces,"3,5714",EUR,,2010-01-01,,,,
Tymphany,DPN000168,88E6240-xx-TFJ2I000,MARVELL,IC SWITCH ETHERNET TQFP128,,IC - Interfaces,"3,6",USD,Quote Avnet 24.03.20,2020-06-17,90,,15,
Seprolec,DPN000171,9-3557-295,KEYSTONE,COSSE SECTEUR - Fuse clip,,Connectors - Inner connection (HP or other),"0,15",EUR,PACOV3_01-09-2020,2020-09-10,,,,
Bosch,DPN000173,ABS06-32.768KHZ-9-1-T,ABRACON,QUARTZ 32.768KHZ 9PF 2x1.2mm,,Passives - Oscillos Quartz,"0,6",EUR,Bosch20200525,2020-05-01,12000,DDP Mondeville,16,
Seprolec,DPN000173,ABS06-32.768KHZ-9-1-T,ABRACON,QUARTZ 32.768KHZ 9PF 2x1.2mm,,Passives - Oscillos Quartz,"0,342",USD,PACOV3_01-09-2020,2020-09-10,,,,
Devialet,DPN000174,ACS711KEXLT-31AB-T,ALLEGRO,SENSOR CURRENT HALL 31A AC/DC 12QFN,,IC - Sensors & microphones,"0,3168",EUR,,2010-01-01,,,,
Bosch,DPN000179,AR1540-AL3C-R,QUALCOMM,IC ETHERNET TRANSCEIVER CPL QFN24,"IEEE 1901 and HomePlugAV AFE Line Driver IC, 24-QFN",IC - PLC,"1,5",USD,Bosch20200525,2020-05-01,10000,DAP Mondeville,24,
Seprolec,DPN000179,AR1540-AL3C-R,QUALCOMM,IC ETHERNET TRANSCEIVER CPL QFN24,"IEEE 1901 and HomePlugAV AFE Line Driver IC, 24-QFN",IC - PLC,"1,5",USD,PACOV3_01-09-2020,2020-09-10,,,,
Bosch,DPN000180,AR7420-AL3C-R,QUALCOMM,IC ETHERNET TRANSCEIVER CPL 116-QFN,Highly integrated MAC/PHY transceiver / bridge multi-stream Ethernet content from a Powerline Network to an Ethernet 802.3 network,IC - PLC,5,USD,Bosch20200525,2020-05-01,5000,DAP Mondeville,20,
Seprolec,DPN000180,AR7420-AL3C-R,QUALCOMM,IC ETHERNET TRANSCEIVER CPL 116-QFN,Highly integrated MAC/PHY transceiver / bridge multi-stream Ethernet content from a Powerline Network to an Ethernet 802.3 network,IC - PLC,"5,05",USD,PACOV3_01-09-2020,2020-09-10,,,,
Devialet,DPN000185,B130LAW-7-F,DIODES INC.,DIODE SCHOTTKY 1A 30V SOD123,,Dicrete - Diodes,"0,0378",EUR,,2010-01-01,,,,
Tymphany,DPN000185,B130LAW-7-F,DIODES INC.,DIODE SCHOTTKY 1A 30V SOD123,,Dicrete - Diodes,"0,0378",EUR,,2010-01-01,,,,
Seprolec,DPN000208,C1608C0G2A102J080A,TDK,CAP CER 1NF 100V 5% 0603 C0G,C1608C0G2A102J,Passives - Ceramic capacitors,"0,0125",EUR,PACOV3_01-09-2020,2020-09-10,,,,GEN
Bosch,DPN000216,100NF 16V 20% 0201 X5R,_Generic_,CAP CER 100NF 16V 20% 0201 X5R,Capacitor - 100nF 16V 20% X5R 0201 SMD,Passives - Ceramic capacitors,"0,0031",USD,Bosch20200525,2020-05-01,10000,DDP Mondeville,16,GEN
Devialet,DPN000216,100NF 16V 20% 0201 X5R,_Generic_,CAP CER 100NF 16V 20% 0201 X5R,Capacitor - 100nF 16V 20% X5R 0201 SMD,Passives - Ceramic capacitors,"0,002",EUR,,2010-01-01,,,,GEN
Seprolec,DPN000216,100NF 16V 20% 0201 X5R,_Generic_,CAP CER 100NF 16V 20% 0201 X5R,Capacitor - 100nF 16V 20% X5R 0201 SMD,Passives - Ceramic capacitors,"0,0055",USD,PACOV3_01-09-2020,2020-09-10,,,,GEN
